customer_id,source_product_name,product_code,product_name,confidence,created_date
,かぶ,0000392,ハタマネギ,auto,2025-12-03
,かぼちゃ,0000276,ジャガイモ,auto,2025-11-22
,なめこ,0000040,ナマタケノコ,auto,2025-10-21
,みずな,0000374,グリーンリーフ,auto,2026-01-16
,れんこん,0000354,シンゴボウ,auto,2025-06-14
,アーリーレッド,0000280,シンタマネギ,auto,2025-11-29
,エシャレット,0000038,コネギ,auto,2025-08-21
,サラダほうれん草,0000045,ホウレンソウ,auto,2025-08-19
,パプリカ,0000202,カラーピーマン,manual,2026-03-07
,ブナしめじ,0000374,グリーンリーフ,auto,2026-01-19
,メークイン,0000276,ジャガイモ,manual,2025-09-10
,レンコン,0000354,シンゴボウ,auto,2026-03-01
,中国にんにく,0000032,ニラ,auto,2025-07-07
,中国里芋,0000203,ナガイモ,auto,2025-10-15
,人参,0000049,ニンジントクヨウ,manual,2025-09-19
,大和芋,0000203,ナガイモ,auto,2026-01-03
,太陽ふじ,0000325,コウスイナシ,auto,2026-01-22
,小松菜,0000045,ホウレンソウ,auto,2025-09-21
,新生姜,0000037,ミョウガ,auto,2025-08-23
,水菜,0000374,グリーンリーフ,auto,2025-09-16
,洗いごぼう,0000354,シンゴボウ,auto,2025-10-29
,洗い里芋,0000203,ナガイモ,auto,2025-12-07
,清見オレンジ,0000173,ウワゴールド,auto,2025-06-23
,王林,0000325,コウスイナシ,auto,2026-03-02
,足付なめこ,0000040,ナマタケノコ,auto,2025-06-04
,里芋,0000203,ナガイモ,auto,2026-03-15
,金時,0000050,シンジャガイモ,auto,2025-10-21
,長なす,0000020,ベイナス,auto,2025-12-04
,長ねぎ,0000054,ナガネギ,manual,2026-01-01
,馬鈴薯,0000276,ジャガイモ,manual,2025-11-20
,黄玉,0000280,シンタマネギ,auto,2025-08-27
C001,しめじ,0000371,ミニトマトシシリアンルージュ,auto,2025-07-20
C001,カブ,0000392,ハタマネギ,auto,2025-12-12
C001,ナメコ,0000040,ナマタケノコ,auto,2025-12-01
C001,ニンニクの芽,0000032,ニラ,auto,2025-10-14
C001,マッシュルーム,0000040,ナマタケノコ,auto,2025-11-24
C001,小松菜,0000045,ホウレンソウ,auto,2025-07-23
C001,水菜,0000374,グリーンリーフ,auto,2025-07-18
C002,エノキ,0000374,グリーンリーフ,auto,2025-06-24
C002,エリンギ,0000427,カリーノケール,auto,2025-07-06
C002,ナメコ,0000040,ナマタケノコ,auto,2025-10-27
C002,本シメジ,0000374,グリーンリーフ,auto,2026-03-23
C002,白マイタケ,0000040,ナマタケノコ,auto,2025-09-07
C002,茶エノキ,0000374,グリーンリーフ,auto,2025-09-25
C003,みず菜,0000374,グリーンリーフ,auto,2025-07-11
C003,小松菜,0000045,ホウレンソウ,auto,2025-12-11
C005,えのきだけ,0000374,グリーンリーフ,auto,2026-01-03
C005,きぬさや,0000036,スナップエンドウ,auto,2025-08-11
C005,こまつな,0000045,ホウレンソウ,manual,2025-06-13
C005,ししゃく,0000393,シシトウ,auto,2025-07-23
C005,ぶなしめじ,0000374,グリーンリーフ,auto,2025-06-17
C005,みずな,0000374,グリーンリーフ,auto,2025-07-28
C005,もやし,0000038,コネギ,auto,2026-02-14
C005,エリンギ茸,0000427,カリーノケール,auto,2025-06-16
C005,エンダイブ,0000374,グリーンリーフ,auto,2025-10-04
C005,パパイヤ,0000307,マンゴーコクサン,auto,2025-09-28
C005,ホワイトセルリー,0000015,セロリ,auto,2025-10-19
C005,モロヘイヤ,0000045,ホウレンソウ,auto,2025-09-20
C005,株なめこ,0000040,ナマタケノコ,auto,2025-07-15
C005,里いも,0000203,ナガイモ,auto,2026-03-07
C005,青とうがらし,0000393,シシトウ,auto,2025-09-23
C005,黄ゆず,0000319,アオウメ,auto,2025-07-18
C006,弥生紅,0000152,ミカン,auto,2025-08-03
C007,なると金時,0000050,シンジャガイモ,auto,2025-10-21
C007,ふぞろい大葉,0000039,オオバ,manual,2025-07-22
C007,小松菜,0000045,ホウレンソウ,auto,2025-12-12
C012,大長茄子,0000020,ベイナス,auto,2025-07-11
C012,長茄子,0000020,ベイナス,auto,2025-09-28
C013,すだち,0000319,アオウメ,auto,2026-03-10
,生しいたけ,0000438,生椎茸,manual,2026-04-09
